userid,club,ratings
abgc4531,14,4
abgc4531,6,4
abgc4531,21,4
abgc4531,41,2
abgc4531,5,3.5
abgc4531,18,4
abgc4531,53,1
abgc4531,13,1.5
opt758,14,3
opt758,38,4
opt758,10,1.5
opt758,54,2
opt758,17,3
opt758,68,4
opt758,78,1
opt758,46,3
opt758,58,2.5
luo2165,80,4
luo2165,84,4.5
luo2165,82,3.5
luo2165,85,3
luo2165,51,1.5
luo2165,25,3
luo2165,69,2.5
luo2165,62,2.5
luo2165,73,4
dpow3146,28,4
dpow3146,29,4.5
dpow3146,34,1.5
dpow3146,44,3.5
dpow3146,51,3
dpow3146,48,3
dpow3146,50,4
dpow3146,47,1.5
dpow3146,63,3.5
dpow3146,64,3
pd1245,52,3
pd1245,43,3.5
pd1245,42,2
gdrt567,67,3.5
gdrt567,64,4
gdrt567,65,3.5
gdrt567,66,4
gdrt567,71,2.5
gdrt567,70,1.5
gdrt567,61,4
gdrt567,58,4
gdrt567,59,3.5
gdrt567,44,4
aio812,76,3
aio812,77,3.5
aio812,83,4
aio812,84,4
aio812,62,2
aio812,56,1
aio812,48,3
aio812,33,3
ulp2164,10,2.5
ulp2164,12,3.5
ulp2164,16,3.5
ulp2164,26,1.5
ulp2164,18,3.5
ulp2164,79,1.5
ulp2164,30,4.5
ulp2164,29,3.5
qldb44,68,5
qldb44,35,4
qldb44,41,3.5
qldb44,37,3
qldb44,63,1.5
qldb44,86,2
qldb44,24,2.5
qldb44,3,3.5
qldb44,1,4
qldb44,4,4
tplb52,22,4.5
tplb52,23,4.5
tplb52,26,3.5
tplb52,28,3
tplb52,78,1.5
tplb52,60,3
tplb52,54,3.5
gglp11,2,4
gglp11,4,4
gglp11,8,4.5
gglp11,9,3
gglp11,10,3
gglp11,11,2.5
gglp11,83,3
gglp11,81,3.5
gglp11,75,4
gglp11,76,4
ooun771,32,4.5
ooun771,17,4
ooun771,33,2
ooun771,37,3
ooun771,12,4
ooun771,36,1.5
ooun771,71,1
whee12,48,4
whee12,32,5
whee12,30,4
whee12,40,1.5
whee12,54,1.5
whee12,25,4
whee12,3,2.5
whee12,38,2
ppu888,74,4
ppu888,77,4
ppu888,75,4.5
ppu888,56,4.5
ppu888,59,4
ppu888,55,3
ppu888,58,3.5
ppu888,86,3.5
ppu888,40,1.5
ppu888,43,1
nunu234,60,3.5
nunu234,51,2
nunu234,80,1
nunu234,74,2
row8989,13,3.5
row8989,15,4
row8989,18,4
row8989,21,3.5
row8989,45,3
row8989,26,3
row8989,16,4
row8989,25,3
row8989,22,1
hook00,14,4
hook00,19,2
hook00,21,3.5
hook00,46,5
hook00,49,4.5
hook00,50,3
hook00,55,2.5
hook00,23,3.5
hook00,65,2.5
hook00,66,2
hoihoi33,1,4
hoihoi33,47,4.5
hoihoi33,5,3.5
hoihoi33,6,3.5
hoihoi33,69,1.5
hoihoi33,7,3
hoihoi33,36,3.5
hoihoi33,9,3.5
hoihoi33,10,3
hoihoi33,4,3.5
iqeq99,63,4
iqeq99,64,4.5
iqeq99,65,4
iqeq99,70,1.5
iqeq99,60,5
lulu77,73,4.5
lulu77,76,4
lulu77,77,4
lulu77,86,3.5
lulu77,11,1
lulu77,67,1
lulu77,80,3.5
avuc12131,1,4.5
avuc12131,2,4.5
avuc12131,3,2
avuc12131,4,4
avuc12131,19,5
avuc12131,7,2.5
avuc12131,8,4
avuc12131,11,3
avuc12131,35,5
avuc12131,36,2
lgka88,15,1.5
lgka88,21,1
lgka88,22,3.5
lgka88,23,5
lgka88,24,4.5
lgka88,30,3.5
lgka88,32,3
lgka88,37,4
lgka88,39,2
hello994,21,4.5
hello994,2,2
hello994,32,4
hello994,33,4.5
hello994,45,5
hello994,55,1.5
hello994,57,3
hello994,60,5
hello994,85,2
pask4687,3,5
pask4687,7,4.5
pask4687,8,3
pask4687,13,4.5
pask4687,15,3.5
pask4687,19,2
pask4687,40,2
pask4687,48,3
pask4687,49,1.5
qlwbl77,44,4
qlwbl77,45,5
qlwbl77,46,3
qlwbl77,47,1.5
qlwbl77,48,4.5
qlwbl77,49,2
qlwbl77,50,5
qlwbl77,51,4
qlwbl77,53,3.5
qlwbl77,57,3
haha679,61,1.5
haha679,78,4.5
haha679,79,2
haha679,80,5
haha679,81,3
haha679,82,2.5
haha679,83,5
haha679,84,2
haha679,85,1.5
haha679,86,2
qlek1,9,2
qlek1,53,3
qlek1,56,1.5
qlek1,59,2
agalg,45,1.5
agalg,55,3
agalg,56,3.5
agalg,57,5
agalg,59,4
agalg,60,3
agalg,61,2
agalg,62,5
agalg,73,3.5
agalg,75,4
qoieppl5,2,2.5
qoieppl5,8,3.5
qoieppl5,9,5
qoieppl5,10,4.5
qoieppl5,11,5
qoieppl5,34,2.5
qoieppl5,35,4
qoieppl5,82,5
qoieppl5,74,1
catlover6487,36,5
catlover6487,2,1
catlover6487,34,1.5
catlover6487,35,2
catlover6487,1,5
catlover6487,7,1.5
catlover6487,8,2
catlover6487,59,1
catlover6487,81,5
catlover6487,82,4
korea1123,34,5
korea1123,39,4.5
korea1123,40,3.5
korea1123,41,3
korea1123,5,2
korea1123,6,1.5
korea1123,12,2
korea1123,16,1.5
korea1123,17,1.5
dae5686,12,4
dae5686,13,3.5
dae5686,14,2
dae5686,16,5
dae5686,19,1.5
dae5686,23,4.5
dae5686,24,4.5
dae5686,25,5
dae5686,26,4
jeonga11,63,1
jeonga11,70,5
jeonga11,9,4.5
jeonga11,35,4.5
jeonga11,37,3.5
jeonga11,40,5
jeonga11,41,4.5
jeonga11,42,1
jeonga11,26,3
ha23,2,4.5
ha23,8,4.5
ha23,9,5
ha23,10,3
ha23,5,3.5
ha23,6,4
ha23,78,4
ha23,83,5
ha23,79,3
ha23,56,2
usa6681,55,4
usa6681,56,5
usa6681,57,3
usa6681,58,5
usa6681,59,4
usa6681,61,4.5
usa6681,62,3
usa6681,54,1
usa6681,63,1
usa6681,75,3
jeju7987,62,5
jeju7987,63,4
jeju7987,64,4.5
jeju7987,65,4.5
jeju7987,66,4
jeju7987,67,3.5
jeju7987,68,1
jeju7987,69,4.5
jeju7987,70,1
jeju7987,71,1
hey676,79,3
hey676,80,5
hey676,81,2
hey676,82,4.5
hey676,83,1
hey676,84,4
hey676,85,3.5
hey676,58,3
hey676,60,2
bionda7,42,3
bionda7,43,4
bionda7,44,5
bionda7,45,5
bionda7,46,2
bionda7,47,1
bionda7,48,3.5
bionda7,51,5
bionda7,52,4
bionda7,53,3.5
haeddeora,60,4.5
haeddeora,45,2
haeddeora,46,1
lala11,52,5
lala11,47,5
lala11,57,4.5
lala11,48,3.5
lala11,54,4
lala11,44,4.5
lala11,45,5
lala11,18,1
lala11,28,4
lala11,29,2
chaechae,8,3
chaechae,9,4
chaechae,10,3
chaechae,11,5
chaechae,22,1
chaechae,23,4
chaechae,24,5
chaechae,25,3
chaechae,62,4
chaechae,44,2
Imchaechae,28,4
Imchaechae,29,2
Imchaechae,30,3
Imchaechae,38,1
Imchaechae,39,1
Imchaechae,40,2
Imchaechae,45,5
Imchaechae,46,5
Imchaechae,77,3
chaeisthebest,83,4
chaeisthebest,84,3
chaeisthebest,85,5
chaeisthebest,3,4
chaeisthebest,4,3.5
chaeisthebest,5,3
chaeisthebest,6,3
chaeisthebest,42,2
chaeisthebest,43,4.5
chaeisthebest,80,4
heyboy,50,4
heyboy,51,3.5
heyboy,52,3
heyboy,53,3
heyboy,73,2
heyboy,74,2
heyboy,75,3
heyboy,76,4
heyboy,30,5
heyboy,29,5
starbucks,12,4
starbucks,13,5
starbucks,14,4
starbucks,15,3
starbucks,16,5
starbucks,17,5
starbucks,18,4
starbucks,63,4
starbucks,64,5
starbucks,65,5
americano,1,4
americano,2,4
americano,3,3
americano,36,5
americano,37,4
americano,21,2
americano,22,1
americano,49,4
americano,25,5
ich1992,58,2
ich1992,59,2
ich1992,43,4
ich1992,54,4
ich1992,55,5
ich1992,47,4
ich1992,48,5
ich1992,18,4
ich1992,19,1
ich1992,34,2
chae1999,8,4
chae1999,9,4
chae1999,84,5
chae1999,60,4
chae1999,29,3
chae1999,44,3
chae1999,45,2
chae1999,26,4
chae1999,38,5
chae1999,24,5
stranger,28,4
stranger,29,3
stranger,30,5
stranger,32,4
stranger,33,3
stranger,86,3
stranger,85,4
stranger,36,2
stranger,84,4
gohome11,1,4
gohome11,2,5
gohome11,15,5
gohome11,8,5
gohome11,57,3
gohome11,44,3
gohome11,45,4
gohome11,21,5
gohome11,22,5
gohome11,23,5
zip456,28,4
zip456,23,5
zip456,24,5
zip456,38,5
zip456,50,4.5
zip456,51,3
zip456,57,2.5
zip456,59,4.5
zip456,78,1
him9879,28,5
him9879,29,4.5
him9879,30,3.5
him9879,32,2
him9879,33,1
him9879,45,4
him9879,46,2
him9879,39,1.5
him9879,66,1
google11,57,4
google11,51,5
google11,52,4.5
google11,53,4
google11,54,4
google11,55,2
google11,76,1
google11,77,1
google11,7,1.5
mulmul,34,5
mulmul,39,5
mulmul,10,4
mulmul,36,4.5
mulmul,38,3
mulmul,36,4.5
mulmul,67,1.5
mulmul,68,1.5
mulmul,41,2
mulmul,9,3.5
csv654,8,3.5
csv654,9,4
csv654,10,4
csv654,11,3.5
csv654,35,5
csv654,40,5
csv654,41,5
csv654,71,1.5
csv654,49,2.5
python99,3,3
python99,4,4.5
python99,5,5
python99,6,4.5
python99,7,3.5
python99,8,5
python99,11,4
python99,84,5
python99,85,1.5
python99,69,1
jupyter113,3,5
jupyter113,7,5
jupyter113,53,4.5
jupyter113,28,5
jupyter113,29,4.5
jupyter113,32,4.5
jupyter113,33,5
jupyter113,34,1
jupyter113,35,1.5
jupyter113,80,1.5
seoul66,12,5
seoul66,13,4
seoul66,14,4
seoul66,15,4.5
seoul66,16,5
seoul66,17,5
seoul66,18,4.5
seoul66,19,2
seoul66,24,2
kakao7168,21,5
kakao7168,22,4.5
kakao7168,23,4
kakao7168,28,2.5
kakao7168,29,2
kakao7168,45,2
kakao7168,46,5
kakao7168,49,5
kakao7168,50,1.5
kakao7168,55,1
dongari,73,4.5
dongari,74,4.5
dongari,75,5
dongari,76,4
dongari,77,4.5
dongari,5,1.5
dongari,6,1.5
dongari,84,5
dongari,85,4
dongari,86,3.5